Starting audit...
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:1: Using the '.*' form of import should be avoided - java.io.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:2: Using the '.*' form of import should be avoided - java.util.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:3: Using the '.*' form of import should be avoided - java.text.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:3: Wrong lexicographical order for 'java.text.*' import. Should be before 'java.util.*'. [CustomImportOrder]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:4: Using the '.*' form of import should be avoided - java.math.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:4: Wrong lexicographical order for 'java.math.*' import. Should be before 'java.util.*'. [CustomImportOrder]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:5: Using the '.*' form of import should be avoided - java.util.regex.*. [AvoidStarImport]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:7: The name of the outer type and the file do not match. [OuterTypeFilename]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:9: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:10: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:11: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:12: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:14: 'ctor def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:15: 'ctor def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:16: 'ctor def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:18: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:20: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:21: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:22: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:24: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:24:30: Member name 'g' must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$'. [MemberName]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:26: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:27: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:28: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:29: 'member def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:29:17: Member name 'n' must match pattern '^[a-z][a-z0-9][a-zA-Z0-9]*$'. [MemberName]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:31: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:32: 'if' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:33: 'if' child has incorrect indentation level 12, expected level should be 6. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:34: 'if rcurly' has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:35: 'method def' child has incorrect indentation level 8, expected level should be 4. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:36: 'method def rcurly' has incorrect indentation level 4, expected level should be 2. [Indentation]
[WARN] F:\DATABASE_HACKERRANK\Graph_theory\johnland\java\pr4vin.java:38: 'method def modifier' has incorrect indentation level 4, expected level should be 2. [Indentation]
